Umpire,GC,PC,IC,xIC,CC,xCC,CCAx,Acc,xAcc,AAx,Con,Fav [H],totRI
mike dimuro,56,8175.0,761.0,688.6,7414.0,7486.4,-1.42,90.688,91.59,-0.908,93.386,0.054,1.959
mike estabrook,244,35667.0,2594.0,2656.2,33073.0,33010.8,0.269,92.697,92.526,0.169,93.071,0.088,1.474
mike everitt,129,18371.0,1392.0,1521.1,16979.0,16849.9,1.085,92.387,91.692,0.698,93.24,0.026,1.415
mike muchlinski,262,38305.0,2793.0,2801.0,35512.0,35504.0,0.032,92.688,92.65,0.031,93.19,0.082,1.517
mike winters,136,19329.0,1812.0,1606.1,17517.0,17722.9,-1.688,90.585,91.669,-1.085,92.476,-0.005,1.967
nate tomlinson,60,9491.0,530.0,646.2,8961.0,8844.8,1.937,94.383,93.195,1.192,93.645,0.114,1.212
nestor ceja,101,15066.0,876.0,1003.7,14190.0,14062.3,1.29,94.177,93.291,0.871,93.641,0.024,1.202
nic lentz,226,32661.0,2133.0,2390.9,30528.0,30270.1,1.205,93.48,92.689,0.793,93.483,-0.003,1.349
nick mahrley,157,23422.0,1527.0,1599.0,21895.0,21823.0,0.468,93.492,93.16,0.319,93.006,0.069,1.273
pat hoberg,250,36074.0,2110.0,2670.3,33964.0,33403.7,2.405,94.118,92.567,1.555,93.964,-0.013,1.156
paul clemons,32,4982.0,316.0,320.0,4666.0,4662.0,0.129,93.632,93.561,0.077,94.174,-0.01,1.298
paul emmel,148,21402.0,1770.0,1722.7,19632.0,19679.3,-0.34,91.842,92.012,-0.173,93.198,-0.017,1.703
paul nauert,155,20706.0,1889.0,1651.7,18817.0,19054.3,-1.745,90.841,92.027,-1.188,92.714,0.059,1.804
paul schrieber,29,4496.0,411.0,441.6,4085.0,4054.4,1.055,90.8,90.169,0.634,92.897,0.198,1.94
phil cuzzi,241,33696.0,2326.0,2510.2,31370.0,31185.8,0.83,93.128,92.532,0.593,93.215,0.077,1.456
quinn wolcott,243,33628.0,2250.0,2561.8,31378.0,31066.2,1.398,93.323,92.405,0.921,93.549,0.021,1.357
ramon de jesus,195,28411.0,1944.0,2029.5,26467.0,26381.5,0.467,93.102,92.83,0.266,93.133,0.085,1.432
randy rosenberg,10,1574.0,105.0,108.7,1469.0,1465.3,0.37,93.38,93.08,0.3,93.03,-0.02,1.356
rob drake,233,33250.0,2917.0,2502.5,30333.0,30747.5,-1.91,91.146,92.445,-1.3,92.84,0.11,1.697
roberto ortiz,162,23770.0,1605.0,1645.5,22165.0,22124.5,0.258,93.254,93.082,0.173,93.256,0.065,1.373
ron kulpa,220,32392.0,2681.0,2506.1,29711.0,29885.9,-0.829,91.722,92.275,-0.552,93.089,0.14,1.721
ryan additon,154,22534.0,1440.0,1522.0,21094.0,21012.0,0.562,93.553,93.232,0.316,93.451,-0.037,1.28
ryan blakney,259,37849.0,2569.0,2846.5,35280.0,35002.5,1.128,93.201,92.487,0.711,93.179,-0.006,1.421
ryan wills,95,14394.0,797.0,944.9,13597.0,13449.1,1.59,94.451,93.439,1.017,93.781,-0.026,1.176
sam holbrook,186,26144.0,2128.0,2057.1,24016.0,24086.9,-0.42,91.857,92.122,-0.277,93.092,0.094,1.55
scott barry,181,24923.0,1907.0,1862.4,23016.0,23060.6,-0.27,92.351,92.491,-0.147,93.14,0.108,1.518
sean barber,207,30616.0,2022.0,2192.0,28594.0,28424.0,0.859,93.437,92.851,0.586,93.572,0.098,1.362
shane livensparger,116,17025.0,983.0,1140.4,16042.0,15884.6,1.418,94.251,93.303,0.945,94.106,-0.073,1.17
stu scheurwater,221,32571.0,2248.0,2321.9,30323.0,30249.1,0.354,93.075,92.853,0.214,93.409,0.096,1.419
ted barrett,234,33445.0,2872.0,2557.1,30573.0,30887.9,-1.465,91.36,92.353,-0.998,92.441,0.059,1.73
tim timmons,194,27858.0,2274.0,2182.2,25584.0,25675.8,-0.519,91.807,92.153,-0.349,92.829,0.02,1.725
tim welke,28,4046.0,459.0,388.1,3587.0,3657.9,-2.727,88.55,90.388,-1.831,91.558,0.033,2.102
toby basner,48,6714.0,564.0,629.4,6150.0,6084.6,1.486,91.58,90.611,0.955,92.973,0.063,1.561
todd tichenor,250,36918.0,2572.0,2792.9,34346.0,34125.1,0.924,93.052,92.438,0.608,93.197,0.014,1.384
tom hallion,177,25895.0,2331.0,2069.8,23564.0,23825.2,-1.593,90.968,92.021,-1.055,92.871,-0.028,1.914
tom hanahan,25,3679.0,211.0,228.8,3468.0,3450.2,0.742,94.283,93.817,0.475,93.442,-0.12,1.119
tom woodring,90,12390.0,864.0,978.1,11526.0,11411.9,1.426,93.056,92.115,0.944,93.61,0.065,1.374
tony randazzo,192,27466.0,2073.0,2117.9,25393.0,25348.1,0.254,92.434,92.255,0.181,93.384,0.031,1.625
tripp gibson,264,37963.0,2348.0,2755.3,35615.0,35207.7,1.642,93.826,92.725,1.098,93.548,0.047,1.273
vic carapazza,261,37982.0,2584.0,2796.5,35398.0,35185.5,0.871,93.217,92.614,0.598,93.606,-0.062,1.425
will little,238,34735.0,1995.0,2642.2,32740.0,32092.8,2.889,94.241,92.362,1.87,93.755,0.073,1.199
